,"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
16,dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의취득,Purchase of financial assets at fair value through other comprehensive income,현금흐름표 [개요],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의취득,,124488000000.0,37687000000.0,1121201000000.0,245497000000.0,63773000000.0,456134000000.0,
17,dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치금융자산의 처분,Disposal of financial assets at fair value through profit or loss,현금흐름표 [개요],투자활동현금흐름,당기손익-공정가치금융자산의 처분,,63962000000.0,166315000000.0,350212000000.0,39746000000.0,64321000000.0,80138000000.0,
18,dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치금융자산의 취득,Acquisition of financial assets at fair value through profit or loss,현금흐름표 [개요],투자활동현금흐름,당기손익-공정가치금융자산의 취득,,130459000000.0,158244000000.0,208262000000.0,84184000000.0,135826000000.0,193848000000.0,
19,ifrs-full_ProceedsFromSalesOfInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 처분,Disposal of investment in associates and joint ventures,현금흐름표 [개요],투자활동현금흐름,관계기업 및 공동기업 투자의 처분,,33457000000.0,13233000000.0,19169000000.0,0.0,-825027000000.0,-158716000000.0,
20,ifrs-full_PurchaseOfInterestsInInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 취득,Acquisition of investment in associates and joint ventures,현금흐름표 [개요],투자활동현금흐름,관계기업 및 공동기업 투자의 취득,,78690000000.0,907958000000.0,47090000000.0,83280000000.0,12778000000.0,51226000000.0,25293000000.0
21,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Disposal of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 처분,,98341000000.0,217878000000.0,358284000000.0,376744000000.0,513265000000.0,556973000000.0,308354000000.0
22,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Acquisition of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 취득,,57611292000000.0,49430428000000.0,47122106000000.0,37592034000000.0,25367756000000.0,29556406000000.0,42792234000000.0
23,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Disposal of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 처분,,11744000000.0,23462000000.0,1752000000.0,7027000000.0,7241000000.0,11935000000.0,733000000.0
24,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Acquisition of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 취득,,2922875000000.0,3696304000000.0,2706915000000.0,2679779000000.0,3249914000000.0,1020517000000.0,983740000000.0
25,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,사업결합으로 인한 현금유출액,Cash outflow from business combinations,현금흐름표 [개요],투자활동현금흐름,사업결합으로 인한 현금유출액,,356511000000.0,31383000000.0,5926000000.0,49420000000.0,1019405000000.0,99108000000.0,8754268000000.0
26,dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale,현금흐름표 [개요],투자활동현금흐름,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,,0.0,0.0,661168000000.0,,0.0,875111000000.0,8350424000000.0
27,ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,기타투자활동으로 인한 현금유출입액,Cash outflow from other investing activities,현금흐름표 [개요],투자활동현금흐름,기타투자활동으로 인한 현금유출입액,,-913897000000.0,-413035000000.0,8129000000.0,-57197000000.0,46048000000.0,-2289000000.0,-28455000000.0
28,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [개요],재무활동현금흐름,,,-8593059000000.0,-19390049000000.0,-23991033000000.0,-8327839000000.0,-9484510000000.0,-15090222000000.0,-12560867000000.0
29,ifrs-full_CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings,단기차입금의 순증가(감소) (주27),Cash flows from (used in) increase (decrease) in current borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 순증가(감소) (주27),,2145400000000.0,-8339149000000.0,-2616943000000.0,2191186000000.0,865792000000.0,-2046470000000.0,2730676000000.0
30,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입 (주27),Proceeds from long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 차입 (주27),,354712000000.0,271997000000.0,58279000000.0,14495000000.0,0.0,3580000000.0,998311000000.0
31,dart_RepaymentsOfLongTermBorrowings,사채 및 장기차입금의 상환 (주27),Repayment of debentures and long-term borrowings,현금흐름표 [개요],재무활동현금흐름,사채 및 장기차입금의 상환 (주27),,1219579000000.0,1508465000000.0,894749000000.0,864947000000.0,709400000000.0,1986597000000.0,1140803000000.0
32,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,Dividends paid,현금흐름표 [개요],재무활동현금흐름,배당금의 지급,,9864474000000.0,9814426000000.0,20510350000000.0,9676760000000.0,9639202000000.0,10193695000000.0,6804297000000.0
33,entity00126380_NetIncreaseDecreaseInNonControllingInterestsOfCashFlowsFromUsedInFinancingActivities,비지배지분의 증감,Net decrease in non-controlling interests,현금흐름표 [개요],재무활동현금흐름,비지배지분의 증감,,-9118000000.0,-6000000.0,-27270000000.0,8187000000.0,-1700000000.0,8071000000.0,5670000000.0
34,entity00126380_ClassifiedAsHeldForSaleOfStatementOfCashFlowsAbstract,매각예정분류,Reclassification to assets held-for-sale,현금흐름표 [개요],매각예정분류,,,-14153000000.0,0.0,139000000.0,-139000000.0,0.0,0.0,
35,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화환산으로 인한 현금의 변동,Effect of foreign exchange rate changes,현금흐름표 [개요],외화환산으로 인한 현금의 변동,,,792785000000.0,-539198000000.0,1582046000000.0,-833861000000.0,595260000000.0,94187000000.0,-1782270000000.0
36,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증감,Net increase in cash and cash equivalents,현금흐름표 [개요],현금및현금성자산의순증감,,,19400183000000.0,10649295000000.0,9648837000000.0,2496579000000.0,-3454506000000.0,-204625000000.0,-1566312000000.0
37,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [개요],기초현금및현금성자산,,,49680710000000.0,39031415000000.0,29382578000000.0,26885999000000.0,30340505000000.0,30545130000000.0,32111442000000.0
38,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [개요],기말현금및현금성자산,,,69080893000000.0,49680710000000.0,39031415000000.0,29382578000000.0,26885999000000.0,30340505000000.0,30545130000000.0
