,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20140101-20141231,20130101-20131231,20120101-20121231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
31,entity00164742_udf_CF_2017112171752842_CashFlowsFromUsedInFinancingActivities,종속기업의 증자,Subsidiaries' Capital increase,현금흐름표 [abstract],재무활동으로 인한 현금흐름,종속기업의 증자,,713380000000.0,341864000000.0,165311000000.0,5080000000.0,4806000000.0,10000000.0,75449000000.0,25536000000.0,147707000000.0,476493000000.0,277476000000.0
32,entity00164742_udf_CF_2022223132334871_CashFlowsFromUsedInFinancingActivities,종속기업의 취득,Acquisitions of subsidiaries,현금흐름표 [abstract],재무활동으로 인한 현금흐름,종속기업의 취득,,-5501000000.0,,-300670000000.0,,13004000000.0,5271000000.0,,-96595000000.0,,,
33,dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 상환,,4762286000000.0,6070109000000.0,4390047000000.0,,,,,,,,
34,dart_RepaymentsOfLongTermBorrowings,장기차입금 및 사채의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,장기차입금 및 사채의 상환,,34942180000000.0,27086324000000.0,29164478000000.0,23059360000000.0,20433457000000.0,20228806000000.0,26264109000000.0,19015198000000.0,15120767000000.0,16669654000000.0,18890467000000.0
35,entity00164742_udf_CF_20191111357123_CashFlowsFromUsedInFinancingActivities,리스부채의 상환,Repayments of lease liability,현금흐름표 [abstract],재무활동으로 인한 현금흐름,리스부채의 상환,,-248888000000.0,-195245000000.0,-185158000000.0,-201571000000.0,-159604000000.0,,,,,,
36,dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,자기주식의 취득,,,193451000000.0,305337000000.0,303077000000.0,458031000000.0,454734000000.0,,261552000000.0,144973000000.0,,
37,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,Dividends paid,현금흐름표 [abstract],재무활동으로 인한 현금흐름,배당금의 지급,,2499050000000.0,1354996000000.0,1186800000000.0,893769000000.0,1121820000000.0,1127452000000.0,1138661000000.0,1084546000000.0,586928000000.0,632529000000.0,523367000000.0
38,entity00164742_udf_CF_20213592524486_CashFlowsFromUsedInFinancingActivities,신종자본증권의 상환,Repayment of hybrid securities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,신종자본증권의 상환,,-300000000000.0,,-150323000000.0,,150323000000.0,299240000000.0,,,,,
39,ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,기타 재무활동으로 인한 현금유출입액,Other inflows (outflows) of cash,현금흐름표 [abstract],재무활동으로 인한 현금흐름,기타 재무활동으로 인한 현금유출입액,,43849000000.0,-244243000000.0,-148714000000.0,-33158000000.0,-83236000000.0,-98787000000.0,28571000000.0,-50391000000.0,-30647000000.0,-51611000000.0,-34652000000.0
40,entity00164742_udf_CF_2021359273862_StatementOfCashFlowsAbstract,매각예정처분자산집단 대체,Substitution related to disposal of assets held for sale,현금흐름표 [abstract],매각예정처분자산집단 대체,,,-149673000000.0,,,-27784000000.0,,-97050000000.0,,,,,
41,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산의 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 환율변동효과,,,226193000000.0,-29992000000.0,500127000000.0,-397121000000.0,202820000000.0,-79273000000.0,-427759000000.0,181994000000.0,-408729000000.0,-190092000000.0,-185992000000.0
42,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가,Net increase in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 증가,,,-1698260000000.0,8069325000000.0,2933418000000.0,1180165000000.0,-431654000000.0,292096000000.0,931440000000.0,558626000000.0,,,
43,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금및현금성자산,,,20864879000000.0,12795554000000.0,9862136000000.0,8681971000000.0,9113625000000.0,8821529000000.0,7890089000000.0,7331463000000.0,6872430000000.0,6759338000000.0,6231946000000.0
44,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금및현금성자산,,,19166619000000.0,20864879000000.0,12795554000000.0,9862136000000.0,8681971000000.0,9113625000000.0,8821529000000.0,7890089000000.0,7096513000000.0,6872430000000.0,6759338000000.0
