,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20231231,20221231,20211231,20201231,20191231,20181231,20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
17,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,순확정급여자산,,4905219000000.0,5851972000000.0,2809590000000.0,1355502000000.0,589832000000.0,562356000000.0,825892000000.0
18,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,이연법인세자산,,10211797000000.0,5101318000000.0,4261214000000.0,4275000000000.0,4505049000000.0,5468002000000.0,5061687000000.0
19,ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동자산,,14174148000000.0,7041145000000.0,6798952000000.0,5113279000000.0,7994050000000.0,12692847000000.0,7794634000000.0
20,ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,,455905980000000.0,448424507000000.0,426621158000000.0,378235718000000.0,352564497000000.0,339357244000000.0,301752090000000.0
21,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,,75719452000000.0,78344852000000.0,88117133000000.0,75604351000000.0,63782764000000.0,69081510000000.0,67175114000000.0
22,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,Trade payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무,,11319824000000.0,10644686000000.0,13453351000000.0,9739222000000.0,8718222000000.0,8479916000000.0,9083907000000.0
23,entity00126380_CurrentLoansReceivedNetOfCurrentLiabilities,단기차입금,Short-term borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,단기차입금,,7114601000000.0,5147315000000.0,13687793000000.0,16553429000000.0,14393468000000.0,13586660000000.0,15767619000000.0
24,ifrs-full_OtherCurrentPayables,미지급금,Other payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,미지급금,,15324119000000.0,17592366000000.0,15584866000000.0,11899022000000.0,12002513000000.0,10711536000000.0,13899633000000.0
25,dart_ShortTermAdvancesCustomers,선수금,Advances received,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,선수금,,1492602000000.0,1314934000000.0,1224812000000.0,1145423000000.0,1072062000000.0,820265000000.0,1249174000000.0
26,dart_ShortTermWithholdings,예수금,Withholdings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,예수금,,892441000000.0,1298244000000.0,1294052000000.0,974521000000.0,897355000000.0,951254000000.0,793582000000.0
