,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
59,(주)나이스홀딩스,34310,2023/12,880593015.0,78768704.0,0.0,63256971.0,150503437.0,1173122127.0
60,(주)남성,4270,2020/12,8281779.0,373374.0,0.0,0.0,26996411.0,35651564.0
61,(주)남성,4270,2021/12,5059964.0,89872.0,0.0,0.0,46565310.0,51715146.0
62,(주)남성,4270,2022/12,4174279.0,67302.0,0.0,0.0,35205071.0,39446652.0
63,(주)남성,4270,2023/12,4129669.0,57835.0,0.0,0.0,26530907.0,30718411.0
64,(주)넥센,5720,2020/12,2437895307.0,71065235.0,0.0,22199043.0,370441206.0,2901600791.0
65,(주)넥센,5720,2021/12,2422266945.0,72914098.0,0.0,27712044.0,535132915.0,3058026002.0
66,(주)넥센,5720,2022/12,2488427689.0,70605167.0,0.0,21769595.0,683018273.0,3263820724.0
67,(주)넥센,5720,2023/12,2685659393.0,63110808.0,0.0,53938736.0,676555162.0,3479264099.0
68,(주)노루페인트,90350,2020/12,288587027.0,11559278.0,0.0,2290262.0,78142777.0,380579344.0
69,(주)노루페인트,90350,2021/12,291028364.0,11277337.0,0.0,1098647.0,77856029.0,381260377.0
70,(주)노루페인트,90350,2022/12,289872793.0,10818113.0,0.0,1672188.0,80861911.0,383225005.0
71,(주)노루페인트,90350,2023/12,288243667.0,10380770.0,0.0,1324150.0,71677235.0,371625822.0
72,(주)농심,4370,2020/12,1271413955.0,37116677.0,0.0,53844882.0,228410803.0,1590786317.0
73,(주)농심,4370,2021/12,1427516996.0,35253898.0,0.0,61886672.0,256007783.0,1780665349.0
74,(주)농심,4370,2022/12,1527290892.0,34840447.0,0.0,92166096.0,296880553.0,1951177988.0
75,(주)농심,4370,2023/12,1535128743.0,53407274.0,0.0,62782064.0,318234267.0,1969552348.0
76,(주)다우기술,23590,2020/12,318079822.0,50534541.0,0.0,20236583.0,38506.0,388889452.0
77,(주)다우기술,23590,2021/12,336296158.0,69976859.0,0.0,13931019.0,52023.0,420256059.0
78,(주)다우기술,23590,2022/12,405633430.0,111055582.0,0.0,37425917.0,1282211.0,555397140.0
79,(주)다우기술,23590,2023/12,224601312.0,57705722.0,0.0,15699750.0,774993.0,298781777.0
80,(주)다이나믹디자인,145210,2020/12,54167659.0,495628.0,0.0,20064866.0,7907048.0,82635201.0
81,(주)다이나믹디자인,145210,2021/12,30049303.0,203059.0,0.0,6206515.0,6843707.0,43302584.0
82,(주)다이나믹디자인,145210,2022/12,36630490.0,383666.0,0.0,6085000.0,8168107.0,51267263.0
83,(주)다이나믹디자인,145210,2023/12,42134257.0,544632.0,0.0,6933006.0,6217453.0,55829348.0
84,(주)대교,19680,2020/12,143373018.0,59327451.0,0.0,77436185.0,15632832.0,295769486.0
85,(주)대교,19680,2021/12,138075287.0,52442956.0,0.0,70487387.0,18258074.0,279263704.0
86,(주)대교,19680,2022/12,129662434.0,41438283.0,0.0,68944541.0,22345523.0,262390781.0
87,(주)대교,19680,2023/12,118494938.0,36196592.0,0.0,42758480.0,17819921.0,215269931.0
88,(주)대우건설,47040,2020/12,350602826.0,96603690.0,0.0,301350858.0,1479345080.0,2227902454.0
89,(주)대우건설,47040,2021/12,363979990.0,92826453.0,0.0,328088662.0,1603790331.0,2388685436.0
90,(주)대우건설,47040,2022/12,353509027.0,69190720.0,0.0,312273584.0,1926669675.0,2661643006.0
91,(주)대우건설,47040,2023/12,383571498.0,65126730.0,0.0,274031240.0,1684464168.0,2407193636.0
92,(주)대웅,3090,2020/12,571962070.0,124744085.0,0.0,9941941.0,253092594.0,959740690.0
93,(주)대웅,3090,2021/12,603509615.0,168833872.0,0.0,14075699.0,249154273.0,1035573459.0
94,(주)대웅,3090,2022/12,618616162.0,212494584.0,0.0,19000723.0,317684049.0,1167795518.0
95,(주)대웅,3090,2023/12,727909822.0,244754177.0,0.0,16804121.0,352349085.0,1341817205.0
96,(주)대웅제약,69620,2020/12,386161987.0,117893807.0,0.0,10747784.0,173970643.0,688774221.0
97,(주)대웅제약,69620,2021/12,387969441.0,164320663.0,0.0,15737656.0,175051532.0,743079292.0
98,(주)대웅제약,69620,2022/12,432708859.0,205159639.0,0.0,22374338.0,208735654.0,868978490.0
99,(주)대웅제약,69620,2023/12,517759387.0,236636741.0,0.0,15285710.0,241545437.0,1011227275.0
100,(주)대유에이텍,2880,2020/12,381637380.0,49661062.0,0.0,136971.0,119439930.0,550875343.0
101,(주)대유에이텍,2880,2021/12,391424060.0,50759627.0,0.0,69778.0,174764008.0,617017473.0
102,(주)대유에이텍,2880,2022/12,489558242.0,42782350.0,0.0,350501.0,149617883.0,682308976.0
103,(주)대유에이텍,2880,2023/12,63975663.0,5562688.0,0.0,0.0,2427828.0,71966179.0
104,(주)대창,12800,2020/12,241075027.0,4949259.0,0.0,6681816.0,188312230.0,441018332.0
105,(주)대창,12800,2021/12,290199908.0,4776269.0,0.0,6957696.0,276413943.0,578347816.0
106,(주)대창,12800,2022/12,287046360.0,4213307.0,0.0,10714082.0,266591223.0,568564972.0
107,(주)대창,12800,2023/12,278782768.0,4866037.0,0.0,10703066.0,220395690.0,514747561.0
108,(주)대한항공,3490,2020/12,18482139653.0,253383956.0,0.0,685079507.0,551195375.0,19971798491.0
109,(주)대한항공,3490,2021/12,16914084202.0,261223076.0,0.0,1012743034.0,597063639.0,18785113951.0
110,(주)대한항공,3490,2022/12,17079086487.0,423336551.0,0.0,1127832392.0,730074502.0,19360329932.0
111,(주)대한항공,3490,2023/12,18174886816.0,384208821.0,0.0,965114154.0,853580309.0,20377790100.0
112,(주)더블유게임즈,192080,2020/12,1496098.0,77821996.0,0.0,19929017.0,0.0,99247111.0
113,(주)더블유게임즈,192080,2021/12,1447917.0,63766461.0,0.0,15681657.0,0.0,80896035.0
114,(주)더블유게임즈,192080,2022/12,1830204.0,63588744.0,0.0,10752727.0,0.0,76171675.0
115,(주)더블유게임즈,192080,2023/12,1757676.0,85978001.0,0.0,34428129.0,0.0,122163806.0
116,(주)더존비즈온,12510,2020/12,350237077.0,28824033.0,0.0,7230123.0,1504418.0,387795651.0
117,(주)더존비즈온,12510,2021/12,345226970.0,42781577.0,0.0,5434760.0,2080222.0,395523529.0
118,(주)더존비즈온,12510,2022/12,369365695.0,49678807.0,0.0,9784114.0,1968185.0,430796801.0
119,(주)더존비즈온,12510,2023/12,372786869.0,66651711.0,0.0,11667020.0,1157794.0,452263394.0
120,(주)덕성,4830,2020/12,27133755.0,304363.0,0.0,512714.0,16265836.0,44216668.0
121,(주)덕성,4830,2021/12,26469352.0,158766.0,0.0,554653.0,14830220.0,42012991.0
122,(주)덕성,4830,2022/12,25566253.0,35757.0,0.0,4438463.0,12729440.0,42769913.0
123,(주)덕성,4830,2023/12,37590201.0,620361.0,0.0,4294748.0,8852906.0,51358216.0
124,(주)덴티움,145720,2020/12,267516911.0,1932372.0,0.0,441937.0,55609364.0,325500584.0
125,(주)덴티움,145720,2021/12,273057925.0,2035710.0,0.0,249632.0,76118986.0,351462253.0
126,(주)덴티움,145720,2022/12,307720582.0,2727840.0,0.0,1711679.0,100760980.0,412921081.0
127,(주)덴티움,145720,2023/12,335380269.0,3861874.0,0.0,443247.0,126952252.0,466637642.0
128,(주)도화엔지니어링,2150,2020/12,198712777.0,4586398.0,0.0,1955076.0,0.0,205254251.0
129,(주)도화엔지니어링,2150,2021/12,211307279.0,4551983.0,0.0,4175926.0,0.0,220035188.0
130,(주)도화엔지니어링,2150,2022/12,216590452.0,4945093.0,0.0,15228281.0,0.0,236763826.0
131,(주)도화엔지니어링,2150,2023/12,219557545.0,4449933.0,0.0,15240112.0,0.0,239247590.0
132,(주)동방,4140,2020/12,206857788.0,10459678.0,0.0,88888187.0,4048885.0,310254538.0
133,(주)동방,4140,2021/12,201648668.0,11516674.0,0.0,74772688.0,6432015.0,294370045.0
134,(주)동방,4140,2022/12,209831151.0,11193378.0,0.0,73772888.0,12086110.0,306883527.0
135,(주)동방,4140,2023/12,230471841.0,12179032.0,0.0,74328053.0,10282461.0,327261387.0
136,(주)동방아그로,7590,2020/12,35958415.0,1190079.0,0.0,1180607.0,71247385.0,109576486.0
137,(주)동방아그로,7590,2021/12,35403653.0,1098051.0,0.0,1140587.0,75161711.0,112804002.0
138,(주)동방아그로,7590,2022/12,39885356.0,1362927.0,0.0,1284656.0,87743089.0,130276028.0
139,(주)동방아그로,7590,2023/12,40755643.0,1090098.0,0.0,1461243.0,103144108.0,146451092.0
140,(주)동서,26960,2020/12,48846778.0,2114967.0,0.0,0.0,40213750.0,91175495.0
141,(주)동서,26960,2021/12,47679411.0,2043443.0,0.0,0.0,48371448.0,98094302.0
142,(주)동서,26960,2022/12,46954231.0,1713518.0,0.0,3460816.0,57145307.0,109273872.0
143,(주)동서,26960,2023/12,47758206.0,1580847.0,0.0,1384597.0,55701871.0,106425521.0
144,(주)동양,1520,2020/12,273368469.0,2195332.0,0.0,21338424.0,70766963.0,367669188.0
145,(주)동양,1520,2021/12,273159844.0,2448453.0,0.0,18666112.0,72162263.0,366436672.0
146,(주)동양,1520,2022/12,266847439.0,1982387.0,0.0,17605207.0,82180110.0,368615143.0
147,(주)동양,1520,2023/12,255161328.0,1887610.0,0.0,15350663.0,80280561.0,352680162.0
148,(주)동양고속,84670,2020/12,64348159.0,0.0,0.0,223528.0,919639.0,65491326.0
149,(주)동양고속,84670,2021/12,59472613.0,0.0,0.0,405447.0,1074042.0,60952102.0
150,(주)동양고속,84670,2022/12,57737833.0,0.0,0.0,512653.0,1169000.0,59419486.0
151,(주)동양고속,84670,2023/12,60938013.0,259255.0,0.0,573354.0,1326813.0,63097435.0
152,(주)동원에프앤비,49770,2020/12,690359333.0,24075841.0,0.0,30818638.0,331188348.0,1076442160.0
153,(주)동원에프앤비,49770,2021/12,699856145.0,27105887.0,0.0,39524674.0,398607403.0,1165094109.0
154,(주)동원에프앤비,49770,2022/12,695473115.0,29376664.0,0.0,51412465.0,546039976.0,1322302220.0
155,(주)동원에프앤비,49770,2023/12,728080463.0,25290376.0,0.0,38524213.0,485568427.0,1277463479.0
156,(주)드림텍,192650,2020/12,264049089.0,18415636.0,0.0,742677.0,101214084.0,384421486.0
157,(주)드림텍,192650,2021/12,254639943.0,15265136.0,0.0,9958033.0,173134499.0,452997611.0
158,(주)드림텍,192650,2022/12,254962293.0,18576134.0,0.0,8761346.0,174866898.0,457166671.0
159,(주)드림텍,192650,2023/12,263317857.0,15445108.0,0.0,5192796.0,112986354.0,396942115.0
160,(주)디비아이엔씨,12030,2020/12,1853998.0,14749542.0,0.0,12811895.0,1431330.0,30846765.0
161,(주)디비아이엔씨,12030,2021/12,1642245.0,11844247.0,0.0,15566119.0,3438673.0,32491284.0
162,(주)디비아이엔씨,12030,2022/12,1866495.0,8407715.0,0.0,14191116.0,5729621.0,30194947.0
163,(주)디비아이엔씨,12030,2023/12,3185633.0,6146798.0,0.0,13152843.0,1484606.0,23969880.0
164,(주)디아이,3160,2020/12,84045600.0,8285921.0,0.0,1876074.0,42009633.0,136217228.0
165,(주)디아이,3160,2021/12,83950148.0,7186613.0,0.0,6310199.0,66255069.0,163702029.0
166,(주)디아이,3160,2022/12,75419812.0,6944107.0,0.0,7545343.0,62584139.0,152493401.0
