회사명,거래소코드,회계년도,[제조]      단기차입금(*)(IFRS연결),[제조]      유동성장기부채(*)(IFRS연결),[제조]            사채(IFRS연결),[제조]            장기차입금(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]법인세비용(IFRS연결),[제조]자본(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)경방,000050,2021/12,114176111,33537222,0,0,0,0,0,4125303,8862270,752146420,518658698
(주)경방,000050,2022/12,120584376,1272880,0,0,0,0,0,7082150,-2766934,755008459,493309854
(주)경방,000050,2023/12,117604551,80000000,0,0,0,0,0,12231935,10878287,738045544,468815407
(주)경보제약,214390,2020/12,,,,,,,,,,,
(주)경보제약,214390,2021/12,,,,,,,,,,,
(주)경보제약,214390,2022/12,,,,,,,,,,,
(주)경보제약,214390,2023/12,,,,,,,,,,,
(주)경인양행,012610,2020/12,161934899,8711240,0,0,0,0,0,4733181,1402855,228381756,276720395
(주)경인양행,012610,2021/12,190433553,10798902,0,0,0,0,0,4286714,5021028,251869915,327622550
(주)경인양행,012610,2022/12,155994969,4400000,0,0,0,0,0,6255671,6983114,266154503,282098496
(주)경인양행,012610,2023/12,174723426,13300000,0,0,0,0,0,10414592,-9397611,251693305,287262668
(주)광명전기,017040,2020/12,11200000,0,0,0,0,0,0,202395,1153538,109787206,56097484
(주)광명전기,017040,2021/12,10500000,0,0,0,0,0,0,217932,793421,115135261,54791366
(주)광명전기,017040,2022/12,7500000,0,0,0,0,0,0,265673,784152,118870746,53307671
(주)광명전기,017040,2023/12,7500000,0,0,0,0,0,0,319015,2379615,130789198,56517453
(주)광주신세계,037710,2020/12,,,,,,,,,,,
(주)광주신세계,037710,2021/12,,,,,,,,,,,
(주)광주신세계,037710,2022/12,,,,,,,,,,,
(주)광주신세계,037710,2023/12,,,,,,,,,,,
(주)국동,005320,2020/12,19223507,0,0,0,0,0,0,4336090,7211619,83835084,96865598
(주)국동,005320,2021/12,18327677,1565320,0,0,0,0,0,3555757,1065661,102364581,66109970
(주)국동,005320,2022/12,15700052,1150673,0,0,0,0,0,1991083,4826384,109055850,65952316
(주)국동,005320,2023/12,15854105,2482095,0,0,0,0,0,3319687,2610311,110792565,65127341
(주)국보,001140,2020/12,14475641,941911,0,0,0,0,0,3666819,-1104677,30827300,59996330
(주)국보,001140,2021/12,11964009,2873678,0,0,0,0,0,4154362,1393463,31843319,70471633
(주)국보,001140,2022/12,9310380,6371440,0,0,0,0,0,4349444,-41419,43088341,66871514
(주)금비,008870,2020/09,20000000,28594462,0,0,0,0,0,2465852,489914,157447657,176524804
(주)금비,008870,2021/09,11600000,31110482,0,0,0,0,0,2221838,2183723,161870621,176002341
(주)금비,008870,2022/09,15597931,28321282,0,0,0,0,0,3114353,1335624,133589518,173724376
(주)금비,008870,2023/09,22972165,30457429,0,0,0,0,0,6140508,-1029377,122824441,173516667
(주)금양,001570,2020/12,47121782,8144747,0,0,0,0,0,5710657,-195657,79793803,140057911
(주)금양,001570,2021/12,57435836,11686113,0,0,0,0,0,6142960,-9194167,117407476,197424609
(주)금양,001570,2022/12,47651640,21466747,0,0,0,0,0,8102457,342707,117757042,160842411
(주)금호에이치티,214330,2020/12,31678400,15500000,0,0,0,0,0,9730585,1440108,223139865,121158723
(주)금호에이치티,214330,2021/12,32450400,0,0,0,0,0,0,3343224,314766,350809715,107985910
(주)금호에이치티,214330,2022/12,32257600,0,0,0,0,0,0,2687986,5478488,325800542,100833283
(주)금호에이치티,214330,2023/12,34042000,0,0,0,0,0,0,4739292,5581518,303120573,138647691
(주)까뮤이앤씨,013700,2020/12,,,,,,,,,,,
(주)까뮤이앤씨,013700,2021/12,,,,,,,,,,,
(주)까뮤이앤씨,013700,2022/12,,,,,,,,,,,
(주)까뮤이앤씨,013700,2023/12,21421768,1891661,0,0,0,0,0,3081880,640317,87295247,168253110
(주)나이스홀딩스,034310,2020/12,411182855,23937052,0,0,0,0,0,18837768,45285176,1249597654,1480757599
(주)나이스홀딩스,034310,2021/12,494242265,74972263,0,0,0,0,0,20406344,45655069,1320444968,1763338212
(주)나이스홀딩스,034310,2022/12,635205409,100840675,0,0,0,0,0,34434009,38770703,1320274778,2058288744
(주)나이스홀딩스,034310,2023/12,655917990,89074705,0,0,0,0,0,56322063,25708754,1317521696,2166601590
(주)남선알미늄,008350,2020/12,21354506,2645937,0,0,0,0,0,753045,2386629,189544558,105608246
(주)남선알미늄,008350,2021/12,11803570,2840000,0,0,0,0,0,684245,8363197,235930768,119307587
(주)남선알미늄,008350,2022/12,3148887,2840000,0,0,0,0,0,556639,2517409,306636802,94558342
(주)남성,004270,2020/12,56465343,12974648,0,0,0,0,0,3349486,5726571,75475869,117797738
(주)남성,004270,2021/12,65105850,867909,0,0,0,0,0,2728980,1738168,118573457,170183452
(주)남성,004270,2022/12,70832277,14103762,0,0,0,0,0,5548357,812759,119499468,151652661
(주)남성,004270,2023/12,82136039,1090909,0,0,0,0,0,6090849,874246,108115096,149998102
(주)넥센,005720,2020/12,285834145,231823055,0,0,0,0,0,19184770,9011518,2041278847,2197933137
(주)넥센,005720,2021/12,315343550,249295746,0,0,0,0,0,19935683,18222222,2116797176,2455495305
(주)넥센,005720,2022/12,747066556,341694784,0,0,0,0,0,29335797,-4891391,2131183570,2595712644
(주)넥센,005720,2023/12,534641874,435935823,0,0,0,0,0,62291387,80464902,2231606324,2829351044
(주)노루페인트,090350,2020/12,36119765,58989455,0,0,0,0,0,4046705,9745288,333862156,332796975
(주)노루페인트,090350,2021/12,27498829,25000000,0,0,0,0,0,3573767,9573199,344991439,325655495
(주)노루페인트,090350,2022/12,14515781,39673000,0,0,0,0,0,3681071,6231480,352673416,315503886
(주)노루페인트,090350,2023/12,12966125,29996667,0,0,0,0,0,3463475,7587301,374279148,294352125
(주)노루홀딩스,000320,2020/12,55637759,85856728,0,0,0,0,0,7074029,14622610,577968798,473115066
(주)노루홀딩스,000320,2021/12,56364707,47085000,0,0,0,0,0,6182138,16060965,583537128,472000055
(주)노루홀딩스,000320,2022/12,57412652,67645702,0,0,0,0,0,6668437,8603841,660825454,511163924
(주)녹십자,006280,2020/12,203200000,91175000,0,0,0,0,0,10354000,15365726,1269305744,882093850
(주)녹십자,006280,2021/12,101099774,120539000,0,0,0,0,0,12501000,35609407,1499757018,962387715
(주)녹십자,006280,2022/12,182000000,5416000,0,0,0,0,0,18392691,16313075,1566641931,958895150
(주)녹십자,006280,2023/12,315447000,202813119,0,0,0,0,0,28483187,-7326032,1539863309,1103450608
(주)녹십자홀딩스,005250,2020/12,554000971,181175000,0,0,0,0,0,24344159,37558189,1673500719,1567701359
(주)녹십자홀딩스,005250,2021/12,362657497,120539000,0,0,0,0,0,27525000,52355324,1910728954,1586104973
(주)녹십자홀딩스,005250,2022/12,450685000,26780000,0,0,0,0,0,36475000,-29267887,1967043519,1625017216
(주)녹십자홀딩스,005250,2023/12,600255339,252366994,0,0,0,0,0,53104000,-9469931,1881541820,1856165582
(주)농심,004370,2020/12,3290813,22273,0,0,0,0,0,3912028,41503996,2048963988,676564197
(주)농심,004370,2021/12,3808016,60929,0,0,0,0,0,1961879,37179555,2200767286,699140508
