,회사명,거래소코드,회계년도,BETA,CAPM
0,(주)MH에탄올,23150,2020/12,0.18311413332514342,0.18311413332514342
1,(주)MH에탄올,23150,2021/12,-0.03364449451597228,-0.03364449451597228
2,(주)MH에탄올,23150,2022/12,1.2047860087293898,1.2047860087293898
3,(주)MH에탄올,23150,2023/12,0.6808792296583408,0.6808792296583408
4,(주)SIMPAC,9160,2020/12,1.1077347133676683,1.1077347133676683
5,(주)SIMPAC,9160,2021/12,2.0052391204506166,2.0052391204506166
6,(주)SIMPAC,9160,2022/12,1.3951585438932996,1.3951585438932996
7,(주)SIMPAC,9160,2023/12,0.9373872006645586,0.9373872006645586
8,(주)SNT에너지,100840,2020/12,0.9680605909338469,0.9680605909338469
9,(주)SNT에너지,100840,2021/12,1.1203562906897673,1.1203562906897673
10,(주)SNT에너지,100840,2022/12,1.3840570163010488,1.3840570163010488
11,(주)SNT에너지,100840,2023/12,0.35892585351394346,0.35892585351394346
12,(주)SNT홀딩스,36530,2020/12,0.6910764156440472,0.6910764156440472
13,(주)SNT홀딩스,36530,2021/12,0.6097751698373821,0.6097751698373821
14,(주)SNT홀딩스,36530,2022/12,0.5804189512696762,0.5804189512696762
15,(주)SNT홀딩스,36530,2023/12,0.33679411864079584,0.33679411864079584
16,(주)TCC스틸,2710,2020/12,1.470431299397928,1.470431299397928
17,(주)TCC스틸,2710,2021/12,0.7706400067453439,0.7706400067453439
18,(주)TCC스틸,2710,2022/12,1.4783740425836005,1.4783740425836005
19,(주)TCC스틸,2710,2023/12,2.278625006442618,2.278625006442618
20,(주)강원랜드,35250,2020/12,1.2738952812809972,1.2738952812809972
21,(주)강원랜드,35250,2021/12,0.7567744632601724,0.7567744632601724
22,(주)강원랜드,35250,2022/12,0.5587393783266253,0.5587393783266253
23,(주)강원랜드,35250,2023/12,0.945445458632533,0.945445458632533
24,(주)경농,2100,2020/12,1.3932918316933374,1.3932918316933374
25,(주)경농,2100,2021/12,0.9233432953288702,0.9233432953288702
26,(주)경농,2100,2022/12,1.0167015745704453,1.0167015745704453
27,(주)경농,2100,2023/12,0.7832349167900403,0.7832349167900403
28,(주)경동나비엔,9450,2020/12,1.0867481774216232,1.0867481774216232
29,(주)경동나비엔,9450,2021/12,1.0554572671943767,1.0554572671943767
30,(주)경동나비엔,9450,2022/12,1.0233859314205838,1.0233859314205838
31,(주)경동나비엔,9450,2023/12,0.20636139238653814,0.20636139238653814
32,(주)경동도시가스,267290,2020/12,1.0137675790931213,1.0137675790931213
33,(주)경동도시가스,267290,2021/12,0.9441944311783672,0.9441944311783672
34,(주)경동도시가스,267290,2022/12,0.7206696627887176,0.7206696627887176
35,(주)경동도시가스,267290,2023/12,0.5928520941588699,0.5928520941588699
36,(주)경방,50,2020/12,0.8003111999453847,0.8003111999453847
37,(주)경방,50,2021/12,0.5560521441069733,0.5560521441069733
38,(주)경방,50,2022/12,0.7727541901667063,0.7727541901667063
39,(주)경방,50,2023/12,0.2934695151576588,0.2934695151576588
40,(주)경인양행,12610,2020/12,1.6235152189844386,1.6235152189844386
41,(주)경인양행,12610,2021/12,0.9678969113351555,0.9678969113351555
42,(주)경인양행,12610,2022/12,1.2567862788096842,1.2567862788096842
43,(주)경인양행,12610,2023/12,0.8887282461910129,0.8887282461910129
44,(주)광명전기,17040,2020/12,1.3355518187889037,1.3355518187889037
45,(주)광명전기,17040,2021/12,1.6341108189212823,1.6341108189212823
46,(주)광명전기,17040,2022/12,1.297576057940509,1.297576057940509
47,(주)광명전기,17040,2023/12,1.1274619299174164,1.1274619299174164
48,(주)국동,5320,2020/12,0.7421781899845933,0.7421781899845933
49,(주)국동,5320,2021/12,0.7744439095099,0.7744439095099
50,(주)국동,5320,2022/12,1.639698189210821,1.639698189210821
51,(주)국동,5320,2023/12,1.386017351897599,1.386017351897599
52,(주)금호에이치티,214330,2020/12,1.5047163466527445,1.5047163466527445
53,(주)금호에이치티,214330,2021/12,0.41118990632104085,0.41118990632104085
54,(주)금호에이치티,214330,2022/12,0.7501078396703497,0.7501078396703497
55,(주)금호에이치티,214330,2023/12,0.43276971517389723,0.43276971517389723
56,(주)나이스홀딩스,34310,2020/12,0.7303445613203703,0.7303445613203703
57,(주)나이스홀딩스,34310,2021/12,0.449119469589232,0.449119469589232
58,(주)나이스홀딩스,34310,2022/12,0.44679687858501416,0.44679687858501416
59,(주)나이스홀딩스,34310,2023/12,-0.0007216403607911045,-0.0007216403607911045
60,(주)남성,4270,2020/12,1.840575538063772,1.840575538063772
61,(주)남성,4270,2021/12,1.6711804786951165,1.6711804786951165
62,(주)남성,4270,2022/12,2.102548073310238,2.102548073310238
