,회사명,거래소코드,회계년도,매출액,판관비,매출원가,법인세비용,ROIC,법인세비율
47,(주)광명전기,17040,2023/12,161220122.0,13641258.0,149852198.0,2379615.0,-4652949.0,-104.67511593105104
48,(주)국동,5320,2020/12,253421044.0,40235895.0,186596507.0,7211619.0,19377023.0,27.1229309116276
49,(주)국동,5320,2021/12,226961774.0,28096926.0,202452297.0,1065661.0,-4653110.0,-29.70525852771705
50,(주)국동,5320,2022/12,329876667.0,29113004.0,283729727.0,4826384.0,12207552.0,28.333932920729534
51,(주)국동,5320,2023/12,224438686.0,27574138.0,200445740.0,2610311.0,-6191503.0,-72.88944574878978
52,(주)금호에이치티,214330,2020/12,219632557.0,11527390.0,212816092.0,1440108.0,-6151033.0,-30.56953782961945
53,(주)금호에이치티,214330,2021/12,233985567.0,14729550.0,212729789.0,314766.0,6211462.0,4.823092297725425
54,(주)금호에이치티,214330,2022/12,277770353.0,19607181.0,248871069.0,5478488.0,3813615.0,58.95853715784253
55,(주)금호에이치티,214330,2023/12,364320451.0,21181150.0,332365472.0,5581518.0,5192311.0,51.80626126514538
56,(주)나이스홀딩스,34310,2020/12,2055514098.0,1902365666.0,0.0,45285176.0,107863256.0,29.56946761296257
57,(주)나이스홀딩스,34310,2021/12,2449866532.0,2305597721.0,0.0,45655069.0,98613742.0,31.64583438620008
58,(주)나이스홀딩스,34310,2022/12,2752922079.0,2607679461.0,0.0,38770703.0,106471915.0,26.693751141280035
59,(주)나이스홀딩스,34310,2023/12,2818916782.0,2721931517.0,0.0,25708754.0,71276511.0,26.50789684391748
60,(주)남성,4270,2020/12,92533561.0,20517258.0,74472399.0,5726571.0,-8182667.0,-233.1574580146704
61,(주)남성,4270,2021/12,102320291.0,21550401.0,73824811.0,1738168.0,5206911.0,25.02733230248353
62,(주)남성,4270,2022/12,98137172.0,23913125.0,71684103.0,812759.0,1727185.0,31.99909131854876
63,(주)남성,4270,2023/12,69674672.0,24027423.0,51725404.0,874246.0,-6952401.0,-14.383410755401924
64,(주)넥센,5720,2020/12,1968536373.0,435163614.0,1471040971.0,9011518.0,53320270.0,14.457339166975284
65,(주)넥센,5720,2021/12,2403881271.0,475124563.0,1895177665.0,18222222.0,15356821.0,54.26665077977356
66,(주)넥센,5720,2022/12,3003950006.0,527521558.0,2498971425.0,-4891391.0,-17651586.0,21.69807031254124
67,(주)넥센,5720,2023/12,3036061854.0,598148181.0,2216875628.0,80464902.0,140573143.0,36.40319113390638
68,(주)노루페인트,90350,2020/12,642935197.0,114386414.0,496251740.0,9745288.0,22551755.0,30.17393264144956
69,(주)노루페인트,90350,2021/12,730931676.0,106528009.0,598878502.0,9573199.0,15951966.0,37.504944630132655
70,(주)노루페인트,90350,2022/12,753255210.0,112185221.0,614969630.0,6231480.0,19868879.0,23.8750739022402
71,(주)노루페인트,90350,2023/12,780507251.0,120731493.0,617893163.0,7587301.0,34295294.0,18.115642070411347
72,(주)농심,4370,2020/12,2639795633.0,676898269.0,1802599873.0,41503996.0,118793495.0,25.891856286134885
73,(주)농심,4370,2021/12,2662982988.0,711972360.0,1844870907.0,37179555.0,68960166.0,35.02887952758044
74,(주)농심,4370,2022/12,3129065208.0,787389718.0,2229502633.0,42807029.0,69365828.0,38.16166418940368
75,(주)농심,4370,2023/12,3410559367.0,823174924.0,2375319699.0,59659188.0,152405556.0,28.13253484511315
76,(주)다우기술,23590,2020/12,5164695883.0,470179404.0,3679129753.0,350988887.0,664397839.0,34.5670155038052
77,(주)다우기술,23590,2021/12,6086980402.0,589263742.0,4240482826.0,384585484.0,872648350.0,30.58981341413693
78,(주)다우기술,23590,2022/12,9210610313.0,588019762.0,7903903064.0,64401574.0,654285913.0,8.960998370631156
79,(주)다우기술,23590,2023/12,9855141797.0,589623091.0,8625638689.0,176563685.0,463316332.0,27.59324878245104
80,(주)다이나믹디자인,145210,2020/12,76783853.0,17054867.0,69518086.0,5455884.0,-15244984.0,-55.734275878272776
81,(주)다이나믹디자인,145210,2021/12,52955234.0,16110059.0,55135610.0,-333464.0,-17956971.0,1.8231605754592497
82,(주)다이나믹디자인,145210,2022/12,58198972.0,11108262.0,54322727.0,-134448.0,-7097569.0,1.8590664264201813
83,(주)다이나믹디자인,145210,2023/12,67116107.0,15279399.0,60611421.0,-453617.0,-8321096.0,5.169593581009431
84,(주)대교,19680,2020/12,627005590.0,112314507.0,542718016.0,-19674695.0,-8352238.0,70.19924370604518
85,(주)대교,19680,2021/12,638394753.0,120886415.0,545820729.0,-1955205.0,-26357186.0,6.9058279111785374
86,(주)대교,19680,2022/12,683076344.0,151698669.0,581337059.0,28477422.0,-78436806.0,-57.001147171870656
87,(주)대교,19680,2023/12,659740743.0,137084343.0,550435573.0,638340.0,-28417513.0,-2.2979085806478112
